"datetime","state","location","aqi"
2019-06-16 17:00:04,"Washington","Pullman","13"
2019-06-16 17:00:04,"Washington","Raymond","8"
2019-06-16 17:00:04,"Washington","Seattle-Bellevue-Kent Valley","40"
2019-06-16 17:00:04,"Washington","Shelton","34"
2019-06-16 17:00:04,"Washington","Spokane","48"
2019-06-16 17:00:04,"Washington","Spokane Tribe of Spokane Reservation","16"
2019-06-16 17:00:04,"Washington","Sunnyside","25"
2019-06-16 17:00:04,"Washington","Tacoma-Puyallup","31"
2019-06-16 17:00:04,"Washington","Twisp","19"
2019-06-16 17:00:04,"Washington","Vancouver","28"
2019-06-16 17:00:04,"Washington","Walla Walla","16"
2019-06-16 17:00:04,"Washington","Wenatchee","23"
2019-06-16 17:00:04,"Washington","Winthrop","16"
2019-06-16 17:00:04,"Washington","Yacolt","11"
2019-06-16 17:00:04,"Washington","Yakima","6"
2019-06-16 18:00:06,"Washington","Aberdeen","5"
2019-06-16 18:00:06,"Washington","Anacortes","20"
2019-06-16 18:00:06,"Washington","Bellingham","34"
2019-06-16 18:00:06,"Washington","Bremerton-Silverdale-Bainbridge Island",""
2019-06-16 18:00:06,"Washington","Cascade foothills of King County","38"
2019-06-16 18:00:06,"Washington","Cascade foothills of east King-Pierce counties","34"
2019-06-16 18:00:06,"Washington","Cheeka Peak","19"
2019-06-16 18:00:06,"Washington","Chehalis","12"
2019-06-16 18:00:06,"Washington","Chelan","20"
2019-06-16 18:00:06,"Washington","Clarkston","22"
2019-06-16 18:00:06,"Washington","Colville","13"
2019-06-16 18:00:06,"Washington","Confederated Tribe of Chehalis Reservation",""
2019-06-16 18:00:06,"Washington","Confederated Tribes & Bands of Yakama Nations","18"
2019-06-16 18:00:06,"Washington","Darrington","16"
2019-06-16 18:00:06,"Washington","Ellensburg","10"
2019-06-16 18:00:06,"Washington","Everett-Marysville-Lynnwood","36"
2019-06-16 18:00:06,"Washington","Inchelium",""
2019-06-16 18:00:06,"Washington","Kennewick","54"
2019-06-16 18:00:06,"Washington","Leavenworth","18"
2019-06-16 18:00:06,"Washington","Longview","9"
2019-06-16 18:00:06,"Washington","Makah Indian Tribe of Makah Indian Reservation","9"
2019-06-16 18:00:06,"Washington","Maple Falls","9"
2019-06-16 18:00:06,"Washington","Moses Lake","20"
2019-06-16 18:00:06,"Washington","Mount Vernon","4"
2019-06-16 18:00:06,"Washington","Mt. Rainier",""
2019-06-16 18:00:06,"Washington","Naches",""
2019-06-16 18:00:06,"Washington","Nespelem",""
2019-06-16 18:00:06,"Washington","Oak Harbor","5"
2019-06-16 18:00:06,"Washington","Olympia-Lacey-Tumwater","20"
2019-06-16 18:00:06,"Washington","Omak","16"
2019-06-16 18:00:06,"Washington","Port Angeles","13"
2019-06-16 18:00:06,"Washington","Port Townsend","13"
2019-06-16 18:00:06,"Washington","Pullman","13"
2019-06-16 18:00:06,"Washington","Raymond","8"
2019-06-16 18:00:06,"Washington","Seattle-Bellevue-Kent Valley","32"
2019-06-16 18:00:06,"Washington","Shelton","35"
2019-06-16 18:00:06,"Washington","Spokane","48"
2019-06-16 18:00:06,"Washington","Spokane Tribe of Spokane Reservation","15"
2019-06-16 18:00:06,"Washington","Sunnyside","24"
2019-06-16 18:00:06,"Washington","Tacoma-Puyallup","31"
2019-06-16 18:00:06,"Washington","Twisp","19"
2019-06-16 18:00:06,"Washington","Vancouver","26"
2019-06-16 18:00:06,"Washington","Walla Walla","15"
2019-06-16 18:00:06,"Washington","Wenatchee","23"
2019-06-16 18:00:06,"Washington","Winthrop","17"
2019-06-16 18:00:06,"Washington","Yacolt","9"
2019-06-16 18:00:06,"Washington","Yakima","11"
