"station.ID","station.name","type","url"
"57A240","Spokane R @ Lake Coeur d'Alene","Basin","../station.asp?sta=57A240"
"59A080","Colville R @ Greenwood Loop Rd","Long-term","../station.asp?sta=59A080"
"59A110","Colville R @ Blue Cr","Basin","../station.asp?sta=59A110"
"59A140","Colville R @ Newton Rd","Basin","../station.asp?sta=59A140"
"59B200","Little Pend Oreille R nr NatWildRef","Basin","../station.asp?sta=59B200"
"59C060","Sheep Cr @ Deer Creek Rd","Basin","../station.asp?sta=59C060"
"59C070","Sheep Cr at Long Prairie Rd","Basin","../station.asp?sta=59C070"
"59D070","Hunters Creek at Hunters Inn","Basin","../station.asp?sta=59D070"
"60A070","Kettle R nr Barstow","Long-term","../station.asp?sta=60A070"
"61A070","Columbia R @ Northport","Long-term","../station.asp?sta=61A070"
"61B070","Deep Cr nr Mouth","Basin","../station.asp?sta=61B070"
"61C100","Onion Cr @ Widow-Hawks Rd","Basin","../station.asp?sta=61C100"
"61E070","Meadow Creek at Aladdin Rd","Basin","../station.asp?sta=61E070"
"62A090","Pend Oreille R @ Metaline Falls","Long-term","../station.asp?sta=62A090"
"62A150","Pend Oreille R @ Newport","Long-term","../station.asp?sta=62A150"
"62B070","Skookum Cr nr Mouth","Basin","../station.asp?sta=62B070"
"62C070","NF Sullivan Creek","Basin","../station.asp?sta=62C070"
