bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
2,6,11,0,0,35,11,25,16,13
2,6,12,0,0,43,11,31,21,21
2,6,13,0,0,54,14,40,23,23
2,6,14,0,0,64,15,49,25,25
2,6,15,0,0,69,13,42,29,3
2,6,16,0,0,65,10,45,16,3
2,6,17,0,0,59,11,38,14,3
2,6,18,0,0,54,20,28,13,3
2,6,19,0,0,46,11,35,13,3
2,6,20,0,0,41,9,31,11,1
2,6,21,0,0,38,8,25,8,0
2,6,22,0,0,38,6,23,5,0
2,6,23,0,0,35,5,25,5,1
3,0,0,0,0,37,5,21,5,5
3,0,1,0,0,34,5,18,5,5
3,0,2,0,0,32,5,19,5,5
3,0,3,0,0,34,5,22,5,5
3,0,4,0,0,38,6,25,6,6
3,0,5,0,0,44,8,32,7,7
3,0,6,0,0,51,13,38,11,10
3,0,7,0,0,61,12,44,13,5
3,0,8,0,0,56,14,40,16,6
3,0,9,0,0,48,11,37,17,7
3,0,10,0,0,48,9,35,17,7
3,0,11,0,0,51,11,36,16,5
3,0,12,0,0,56,11,40,17,6
3,0,13,0,0,62,11,46,13,5
3,0,14,0,0,65,13,45,10,6
3,0,15,0,0,67,8,46,10,3
3,0,16,0,0,68,11,46,9,2
3,0,17,0,0,52,10,39,5,1
3,0,18,0,0,44,10,27,5,1
3,0,19,0,0,32,9,22,5,1
3,0,20,0,0,33,7,23,5,1
3,0,21,0,0,27,6,17,5,1
3,0,22,0,0,17,5,14,5,1
3,0,23,0,0,13,6,10,5,5
3,1,0,0,0,9,5,5,5,5
3,1,1,0,0,8,5,5,5,5
3,1,2,0,0,9,5,6,5,5
3,1,3,0,0,22,6,17,5,5
3,1,4,0,0,30,7,21,9,9
3,1,5,0,0,40,10,29,13,13
3,1,6,0,0,49,13,39,16,15
3,1,7,0,0,54,14,41,21,1
3,1,8,0,0,51,10,39,15,1
3,1,9,0,0,54,10,42,19,1
3,1,10,0,0,49,10,36,26,1
3,1,11,0,0,52,11,38,22,1
3,1,12,0,0,55,11,39,22,1
3,1,13,0,0,59,11,44,22,1
3,1,14,0,0,59,11,46,16,1
3,1,15,0,0,52,11,42,12,1
3,1,16,0,0,45,8,33,8,0
3,1,17,0,0,37,9,28,5,0
