fac_name,fac_title,fac_degree
"Su, Yanfang",Acting Assistant Professor,
"Sullivan, Sean",Professor,"PhD, MS"
"Szpiro, Adam",Associate Professor,PhD
"Temkin, Nancy",Professor,"PhD, MS"
"Thompson, Matthew",Professor,"DPhil, MPH, MBChB"
"Thornton, Timothy",Professor,PhD
"Turner, Anne",Professor,"MD, MLIS, MPH"
"Unger, Jennifer",Assistant Professor,"MD, MPH"
"Vander Stoep, Ann",Professor,"PhD, MS"
"vanDraanen Earwaker, Jenna",Assistant Professor,
"Wagenaar, Bradley",Assistant Professor,"PhD, MPH"
"Wagner, Anjuli",Acting Assistant Professor,"PhD, MPH"
"Wakefield, Jonathan Clive",Professor,PhD
"Wald, Anna",Professor,"MD, MPH"
"Walson, Judd",Professor,MPH
"Wasserheit, Judith",Professor,MD
"Watkins, David",Assistant Professor,
"Weaver, Marcia",Research Professor,"PhD, MA"
"Weiner, Bryan",Professor,"PhD, MA"
"Weir, Bruce",Professor,PhD
"Wijsman, Ellen",Professor,PhD
"Wiktor, Stefan",Acting Professor,
"Williams, Emily",Professor,"PhD, MPH"
"Willis, Amy",Assistant Professor,PhD
"Winer, Rachel ",Professor,"MPH, PhD"
"Witten, Daniela",Professor,"PhD, MS"
"Wong, Edwin",Research Associate Professor,"PhD, MA"
"Wood, Suzanne",Assistant Professor,"PhD, MS"
"Xia, Zhengui",Professor,"PhD, MS"
"Yost, Michael",Professor,"PhD, MS"
"Zeliadt, Steven",Research Professor,"PhD, MPH"
"Zunt, Joseph",Professor,"MPH, MD"
